key,id,p_key,p_id
nckimport,391,nckimport,390
nckimport,387,nckimport,381
nckimport,386,nckimport,381
nckimport,385,nckimport,381
nckimport,384,nckimport,381
nckimport,383,nckimport,381
nckimport,382,nckimport,381
nckimport,380,nckimport,370
nckimport,379,nckimport,370
nckimport,378,nckimport,370
nckimport,377,nckimport,370
nckimport,376,nckimport,370
nckimport,373,nckimport,370
nckimport,372,nckimport,370
nckimport,371,nckimport,370
nckimport,369,nckimport,358
nckimport,368,nckimport,358
nckimport,367,nckimport,358
nckimport,366,nckimport,358
nckimport,365,nckimport,358
nckimport,362,nckimport,358
nckimport,361,nckimport,358
nckimport,360,nckimport,358
nckimport,359,nckimport,358
nckimport,355,nckimport,344
nckimport,354,nckimport,344
nckimport,353,nckimport,344
nckimport,352,nckimport,344
nckimport,351,nckimport,344
nckimport,350,nckimport,344
nckimport,349,nckimport,344
nckimport,348,nckimport,344
nckimport,347,nckimport,344
nckimport,346,nckimport,344
nckimport,345,nckimport,344
nckimport,343,nckimport,331
nckimport,342,nckimport,331
nckimport,341,nckimport,331
nckimport,340,nckimport,331
nckimport,339,nckimport,331
nckimport,338,nckimport,331
nckimport,335,nckimport,331
nckimport,334,nckimport,331
nckimport,333,nckimport,331
nckimport,332,nckimport,331
nckimport,328,nckimport,319
nckimport,327,nckimport,319
nckimport,326,nckimport,319
nckimport,325,nckimport,319
nckimport,324,nckimport,319
nckimport,323,nckimport,319
nckimport,322,nckimport,319
nckimport,321,nckimport,319
nckimport,320,nckimport,319
nckimport,318,nckimport,301
nckimport,315,nckimport,301
nckimport,314,nckimport,301
nckimport,313,nckimport,301
nckimport,312,nckimport,301
nckimport,311,nckimport,301
nckimport,310,nckimport,301
nckimport,309,nckimport,301
nckimport,308,nckimport,301
nckimport,307,nckimport,301
nckimport,306,nckimport,301
nckimport,305,nckimport,301
nckimport,304,nckimport,301
nckimport,303,nckimport,301
nckimport,302,nckimport,301
nckimport,298,nckimport,288
nckimport,297,nckimport,288
nckimport,296,nckimport,288
nckimport,295,nckimport,288
nckimport,294,nckimport,288
nckimport,293,nckimport,288
nckimport,292,nckimport,288
nckimport,291,nckimport,288
nckimport,290,nckimport,288
nckimport,289,nckimport,288
nckimport,287,nckimport,278
nckimport,286,nckimport,278
nckimport,285,nckimport,278
nckimport,284,nckimport,278
nckimport,283,nckimport,278
nckimport,282,nckimport,278
nckimport,281,nckimport,278
nckimport,280,nckimport,278
nckimport,279,nckimport,278
nckimport,277,nckimport,269
nckimport,276,nckimport,269
nckimport,275,nckimport,269
nckimport,274,nckimport,269
nckimport,273,nckimport,269
nckimport,272,nckimport,269
nckimport,271,nckimport,269
nckimport,270,nckimport,269
nckimport,268,nckimport,265
nckimport,267,nckimport,265
nckimport,266,nckimport,265
nckimport,264,nckimport,259
nckimport,263,nckimport,259
nckimport,262,nckimport,259
nckimport,261,nckimport,259
nckimport,260,nckimport,259
nckimport,255,nckimport,253
nckimport,254,nckimport,253
nckimport,252,nckimport,246
nckimport,251,nckimport,246
nckimport,250,nckimport,246
nckimport,249,nckimport,246
nckimport,248,nckimport,246
nckimport,247,nckimport,246
nckimport,245,nckimport,240
nckimport,244,nckimport,240
nckimport,243,nckimport,240
nckimport,242,nckimport,240
nckimport,241,nckimport,240
nckimport,239,nckimport,234
nckimport,238,nckimport,234
nckimport,237,nckimport,234
nckimport,236,nckimport,234
nckimport,235,nckimport,234
nckimport,233,nckimport,230
nckimport,232,nckimport,230
nckimport,231,nckimport,230
nckimport,229,nckimport,225
nckimport,228,nckimport,225
nckimport,227,nckimport,225
